ticker,company_name,sector,theme_id,theme_label,prior_year,year,prior_rate_per_10k_words,rate_per_10k_words,change_per_10k_words,absolute_change_per_10k_words
AMZN,Amazon,Consumer Discretionary,diversity_equity_and_inclusion,"Diversity, equity, and inclusion",2017,2018,8.859279,21.015427,12.156148,12.156148
META,Meta Platforms,Technology,employees_and_workplace,Employees and workplace,2019,2020,23.204751,35.347514,12.142763,12.142763
JPM,JPMorgan Chase,Financials,environment_and_sustainability,Environment and sustainability,2020,2021,23.035759,10.901591,-12.134168,12.134168
AMZN,Amazon,Consumer Discretionary,shareholders_and_performance,Shareholders and performance,2019,2020,94.150286,82.019524,-12.130762,12.130762
JNJ,Johnson & Johnson,Healthcare,shareholders_and_performance,Shareholders and performance,2022,2023,46.789842,58.911126,12.121284,12.121284
MDT,Medtronic,Healthcare,shareholders_and_performance,Shareholders and performance,2017,2018,31.744626,43.862892,12.118266,12.118266
LOW,Lowe's,Consumer Discretionary,employees_and_workplace,Employees and workplace,2020,2021,41.934455,29.828659,-12.105796,12.105796
NVDA,NVIDIA,Technology,leadership_and_accountability,Leadership and accountability,2020,2021,9.756405,21.838572,12.082167,12.082167
BMY,Bristol-Myers Squibb,Healthcare,employees_and_workplace,Employees and workplace,2021,2022,36.974393,49.043085,12.068692,12.068692
MSFT,Microsoft,Technology,diversity_equity_and_inclusion,"Diversity, equity, and inclusion",2021,2022,30.126049,42.185193,12.059144,12.059144
OXY,Occidental Petroleum,Energy,shareholders_and_performance,Shareholders and performance,2020,2021,37.444439,49.480976,12.036537,12.036537
F,Ford Motor,Consumer Discretionary,employees_and_workplace,Employees and workplace,2022,2023,26.615702,38.617167,12.001465,12.001465
AXP,American Express,Financials,shareholders_and_performance,Shareholders and performance,2023,2024,42.639791,54.63237,11.992579,11.992579
UNH,UnitedHealth Group,Healthcare,employees_and_workplace,Employees and workplace,2020,2021,28.299872,40.274104,11.974233,11.974233
MRK,Merck,Healthcare,employees_and_workplace,Employees and workplace,2023,2024,17.248598,29.18834,11.939742,11.939742
NKE,Nike,Consumer Discretionary,leadership_and_accountability,Leadership and accountability,2021,2022,37.720461,25.822943,-11.897518,11.897518
MPC,Marathon Petroleum,Energy,shareholders_and_performance,Shareholders and performance,2020,2021,41.212769,29.315826,-11.896943,11.896943
F,Ford Motor,Consumer Discretionary,employees_and_workplace,Employees and workplace,2018,2019,33.236588,21.355077,-11.881512,11.881512
NKE,Nike,Consumer Discretionary,shareholders_and_performance,Shareholders and performance,2022,2023,51.645887,63.487916,11.84203,11.84203
SCHW,Charles Schwab,Financials,customers_and_service,Customers and service,2018,2019,14.855123,26.693253,11.838129,11.838129
JPM,JPMorgan Chase,Financials,shareholders_and_performance,Shareholders and performance,2022,2023,60.758135,72.593987,11.835852,11.835852
WFC,Wells Fargo,Financials,integrity_and_ethics,Integrity and ethics,2017,2018,23.128823,11.293593,-11.835231,11.835231
NKE,Nike,Consumer Discretionary,shareholders_and_performance,Shareholders and performance,2021,2022,63.462127,51.645887,-11.81624,11.81624
WFC,Wells Fargo,Financials,customers_and_service,Customers and service,2022,2023,25.32259,37.121893,11.799303,11.799303
