ticker,year,collection_status,sec_archive_url,raw_file_path,raw_file_bytes,raw_content_sha256,gap_reason
CRM,2023,collected,https://www.sec.gov/Archives/edgar/data/1108524/000119312523122123/d406753ddef14a.htm,part2_lived_values/data/raw/filings/crm_2023_000119312523122123.htm,2574281,1f1015fe85b152db07c35edef48f85e0f09bb23ce3bca59a56640d85f040dd5f,
CRM,2024,collected,https://www.sec.gov/Archives/edgar/data/1108524/000119312524140549/d26900ddef14a.htm,part2_lived_values/data/raw/filings/crm_2024_000119312524140549.htm,2447331,eb7cc00f49a67fd2fb175e75b16a55a9e351c90e5da886e6a722d113f7e34318,
ORCL,2016,collected,https://www.sec.gov/Archives/edgar/data/1341439/000119312516718528/d234553ddef14a.htm,part2_lived_values/data/raw/filings/orcl_2016_000119312516718528.htm,1013017,640b14f7283c0c46d103f9bd05db793c1f5a64afbe8178d4aaad1babe57ffbd3,
ORCL,2017,collected,https://www.sec.gov/Archives/edgar/data/1341439/000119312517297858/d382058ddef14a.htm,part2_lived_values/data/raw/filings/orcl_2017_000119312517297858.htm,1298588,b002fc905a65d4599789f5f6dcaf868d3a5dc5b630a328790201774e9a625992,
ORCL,2018,collected,https://www.sec.gov/Archives/edgar/data/1341439/000119312518283993/d623045ddef14a.htm,part2_lived_values/data/raw/filings/orcl_2018_000119312518283993.htm,1372908,4611553c2e0c55ad9ddec67935f5955787f31b9fe0a494983fef7a06c63451f2,
ORCL,2019,collected,https://www.sec.gov/Archives/edgar/data/1341439/000119312519257430/d755300ddef14a.htm,part2_lived_values/data/raw/filings/orcl_2019_000119312519257430.htm,1372781,c3169ca269db99f79ca35205cb563c5bc9a51ed5b1a29adeb99da24f4c665138,
ORCL,2020,collected,https://www.sec.gov/Archives/edgar/data/1341439/000119312520249194/d78987ddef14a.htm,part2_lived_values/data/raw/filings/orcl_2020_000119312520249194.htm,1551311,1c058cf645ef12fa69b6c51e329babc05a5a397f738065b08e0f333ef9189119,
ORCL,2021,collected,https://www.sec.gov/Archives/edgar/data/1341439/000119312521282422/d162163ddef14a.htm,part2_lived_values/data/raw/filings/orcl_2021_000119312521282422.htm,1515785,641bbd5f4767bcfc1ae23ae90df70406a11792911d7b3eddf1f5b0b51957ba77,
ORCL,2022,collected,https://www.sec.gov/Archives/edgar/data/1341439/000119312522250158/d357923ddef14a.htm,part2_lived_values/data/raw/filings/orcl_2022_000119312522250158.htm,1254745,a1861e30eb66e576bfd74688c62f7be56fd5f63669c75430d74ae59dfc1a740c,
ORCL,2023,collected,https://www.sec.gov/Archives/edgar/data/1341439/000119312523240594/d744477ddef14a.htm,part2_lived_values/data/raw/filings/orcl_2023_000119312523240594.htm,1884924,1fae920558e6105452e7371363a77bd535df6b209ffee58f84060ebc6b4b4e10,
ORCL,2024,collected,https://www.sec.gov/Archives/edgar/data/1341439/000119312524226139/d860928ddef14a.htm,part2_lived_values/data/raw/filings/orcl_2024_000119312524226139.htm,1632276,42c2db9c03d6a4cb928a002de31eaf0a4e8be514740aa02897e4e078ab6b6433,
IBM,2016,collected,https://www.sec.gov/Archives/edgar/data/51143/000110465916102981/a16-2282_1def14a.htm,part2_lived_values/data/raw/filings/ibm_2016_000110465916102981.htm,1976718,3f70ec4fd4b519c8601ba57d6d52447489807cb151a356d85c38547eac74b64a,
