ticker,cik,company_name,year,form,filing_date,report_date,accession_number,primary_document,source_url,sec_archive_url
INTC,0000050863,Intel,2021,DEF 14A,2021-03-30,2021-05-13,0001193125-21-098458,d86711ddef14a.htm,https://data.sec.gov/submissions/CIK0000050863.json,https://www.sec.gov/Archives/edgar/data/50863/000119312521098458/d86711ddef14a.htm
INTC,0000050863,Intel,2022,DEF 14A,2022-03-30,2022-05-12,0000050863-22-000011,proxy2022.htm,https://data.sec.gov/submissions/CIK0000050863.json,https://www.sec.gov/Archives/edgar/data/50863/000005086322000011/proxy2022.htm
INTC,0000050863,Intel,2023,DEF 14A,2023-03-31,,0000050863-23-000021,intc-20230327.htm,https://data.sec.gov/submissions/CIK0000050863.json,https://www.sec.gov/Archives/edgar/data/50863/000005086323000021/intc-20230327.htm
INTC,0000050863,Intel,2024,DEF 14A,2024-03-28,2024-03-27,0000050863-24-000057,intc-20240327.htm,https://data.sec.gov/submissions/CIK0000050863.json,https://www.sec.gov/Archives/edgar/data/50863/000005086324000057/intc-20240327.htm
BRK.B,0001067983,Berkshire Hathaway,2016,DEF 14A,2016-03-11,2016-04-30,0001193125-16-501649,d117328ddef14a.htm,https://data.sec.gov/submissions/CIK0001067983.json,https://www.sec.gov/Archives/edgar/data/1067983/000119312516501649/d117328ddef14a.htm
BRK.B,0001067983,Berkshire Hathaway,2017,DEF 14A,2017-03-17,2017-05-06,0001193125-17-087493,d305499ddef14a.htm,https://data.sec.gov/submissions/CIK0001067983.json,https://www.sec.gov/Archives/edgar/data/1067983/000119312517087493/d305499ddef14a.htm
BRK.B,0001067983,Berkshire Hathaway,2018,DEF 14A,2018-03-16,2018-05-05,0001193125-18-086050,d526293ddef14a.htm,https://data.sec.gov/submissions/CIK0001067983.json,https://www.sec.gov/Archives/edgar/data/1067983/000119312518086050/d526293ddef14a.htm
BRK.B,0001067983,Berkshire Hathaway,2019,DEF 14A,2019-03-15,2019-05-04,0001193125-19-076915,d684203ddef14a.htm,https://data.sec.gov/submissions/CIK0001067983.json,https://www.sec.gov/Archives/edgar/data/1067983/000119312519076915/d684203ddef14a.htm
BRK.B,0001067983,Berkshire Hathaway,2020,DEF 14A,2020-03-13,2020-05-02,0001193125-20-072952,d856491ddef14a.htm,https://data.sec.gov/submissions/CIK0001067983.json,https://www.sec.gov/Archives/edgar/data/1067983/000119312520072952/d856491ddef14a.htm
BRK.B,0001067983,Berkshire Hathaway,2021,DEF 14A,2021-03-15,2021-05-01,0001193125-21-080418,d938053ddef14a.htm,https://data.sec.gov/submissions/CIK0001067983.json,https://www.sec.gov/Archives/edgar/data/1067983/000119312521080418/d938053ddef14a.htm
BRK.B,0001067983,Berkshire Hathaway,2022,DEF 14A,2022-03-11,2022-04-30,0001193125-22-073447,d208624ddef14a.htm,https://data.sec.gov/submissions/CIK0001067983.json,https://www.sec.gov/Archives/edgar/data/1067983/000119312522073447/d208624ddef14a.htm
BRK.B,0001067983,Berkshire Hathaway,2023,DEF 14A,2023-03-17,,0001193125-23-073948,d362436ddef14a.htm,https://data.sec.gov/submissions/CIK0001067983.json,https://www.sec.gov/Archives/edgar/data/1067983/000119312523073948/d362436ddef14a.htm
BRK.B,0001067983,Berkshire Hathaway,2024,DEF 14A,2024-03-15,2024-05-04,0001193125-24-069107,d512828ddef14a.htm,https://data.sec.gov/submissions/CIK0001067983.json,https://www.sec.gov/Archives/edgar/data/1067983/000119312524069107/d512828ddef14a.htm
JPM,0000019617,JPMorgan Chase,2016,DEF 14A,2016-04-07,2016-05-17,0000019617-16-000933,jpmc2016definitiveproxy.htm,https://data.sec.gov/submissions/CIK0000019617.json,https://www.sec.gov/Archives/edgar/data/19617/000001961716000933/jpmc2016definitiveproxy.htm
JPM,0000019617,JPMorgan Chase,2017,DEF 14A,2017-04-05,2016-12-31,0000019617-17-000340,jpmc2017definitiveproxy.htm,https://data.sec.gov/submissions/CIK0000019617.json,https://www.sec.gov/Archives/edgar/data/19617/000001961717000340/jpmc2017definitiveproxy.htm
JPM,0000019617,JPMorgan Chase,2018,DEF 14A,2018-04-05,2017-12-31,0000019617-18-000077,jpmc2018definitiveproxy.htm,https://data.sec.gov/submissions/CIK0000019617.json,https://www.sec.gov/Archives/edgar/data/19617/000001961718000077/jpmc2018definitiveproxy.htm
JPM,0000019617,JPMorgan Chase,2019,DEF 14A,2019-04-05,2019-05-21,0001193125-19-098338,d695908ddef14a.htm,https://data.sec.gov/submissions/CIK0000019617.json,https://www.sec.gov/Archives/edgar/data/19617/000119312519098338/d695908ddef14a.htm
JPM,0000019617,JPMorgan Chase,2020,DEF 14A,2020-04-06,2020-05-19,0001193125-20-098865,d822689ddef14a.htm,https://data.sec.gov/submissions/CIK0000019617.json,https://www.sec.gov/Archives/edgar/data/19617/000119312520098865/d822689ddef14a.htm
JPM,0000019617,JPMorgan Chase,2021,DEF 14A,2021-04-07,2021-05-18,0000019617-21-000275,a2021proxystatement.htm,https://data.sec.gov/submissions/CIK0000019617.json,https://www.sec.gov/Archives/edgar/data/19617/000001961721000275/a2021proxystatement.htm
JPM,0000019617,JPMorgan Chase,2022,DEF 14A,2022-04-04,2022-05-17,0000019617-22-000303,a2022proxystatement.htm,https://data.sec.gov/submissions/CIK0000019617.json,https://www.sec.gov/Archives/edgar/data/19617/000001961722000303/a2022proxystatement.htm
JPM,0000019617,JPMorgan Chase,2023,DEF 14A,2023-04-04,,0000019617-23-000281,jpm-20230403.htm,https://data.sec.gov/submissions/CIK0000019617.json,https://www.sec.gov/Archives/edgar/data/19617/000001961723000281/jpm-20230403.htm
JPM,0000019617,JPMorgan Chase,2024,DEF 14A,2024-04-08,2024-04-08,0000019617-24-000273,jpm-20240406.htm,https://data.sec.gov/submissions/CIK0000019617.json,https://www.sec.gov/Archives/edgar/data/19617/000001961724000273/jpm-20240406.htm
BAC,0000070858,Bank of America,2016,DEF 14A,2016-03-17,2016-04-27,0001193125-16-508200,d87843ddef14a.htm,https://data.sec.gov/submissions/CIK0000070858.json,https://www.sec.gov/Archives/edgar/data/70858/000119312516508200/d87843ddef14a.htm
BAC,0000070858,Bank of America,2017,DEF 14A,2017-03-15,2017-04-26,0001193125-17-082970,d269586ddef14a.htm,https://data.sec.gov/submissions/CIK0000070858.json,https://www.sec.gov/Archives/edgar/data/70858/000119312517082970/d269586ddef14a.htm
