ticker,company_name,sector,year,target_timestamp,acquisition_status,failure_reason,eligible_page_count,capture_count,eligible_capture_count,selected_capture_timestamp,selected_original_url,selected_replay_url
BRK.B,Berkshire Hathaway,Financials,2018,2018-06-30T12:00:00+00:00,no_eligible_page,no eligible page candidate,0,0,0,,,
BRK.B,Berkshire Hathaway,Financials,2019,2019-06-30T12:00:00+00:00,no_eligible_page,no eligible page candidate,0,0,0,,,
BRK.B,Berkshire Hathaway,Financials,2020,2020-06-30T12:00:00+00:00,no_eligible_page,no eligible page candidate,0,0,0,,,
BRK.B,Berkshire Hathaway,Financials,2021,2021-06-30T12:00:00+00:00,no_eligible_page,no eligible page candidate,0,0,0,,,
BRK.B,Berkshire Hathaway,Financials,2022,2022-06-30T12:00:00+00:00,no_eligible_page,no eligible page candidate,0,0,0,,,
BRK.B,Berkshire Hathaway,Financials,2023,2023-06-30T12:00:00+00:00,no_eligible_page,no eligible page candidate,0,0,0,,,
BRK.B,Berkshire Hathaway,Financials,2024,2024-06-30T12:00:00+00:00,no_eligible_page,no eligible page candidate,0,0,0,,,
C,Citigroup,Financials,2016,2016-06-30T12:00:00+00:00,no_cdx_capture,no same-year CDX capture,1,0,0,,,
C,Citigroup,Financials,2017,2017-06-30T12:00:00+00:00,no_cdx_capture,no same-year CDX capture,1,0,0,,,
C,Citigroup,Financials,2018,2018-06-30T12:00:00+00:00,no_cdx_capture,no same-year CDX capture,1,0,0,,,
C,Citigroup,Financials,2019,2019-06-30T12:00:00+00:00,no_cdx_capture,no same-year CDX capture,1,0,0,,,
C,Citigroup,Financials,2020,2020-06-30T12:00:00+00:00,no_cdx_capture,no same-year CDX capture,1,0,0,,,
C,Citigroup,Financials,2021,2021-06-30T12:00:00+00:00,no_cdx_capture,no same-year CDX capture,1,0,0,,,
C,Citigroup,Financials,2022,2022-06-30T12:00:00+00:00,no_cdx_capture,no same-year CDX capture,1,0,0,,,
C,Citigroup,Financials,2023,2023-06-30T12:00:00+00:00,selected,,1,24,22,2023-07-22T10:17:07+00:00,https://www.citigroup.com/global/about-us,https://web.archive.org/web/20230722101707id_/https://www.citigroup.com/global/about-us
C,Citigroup,Financials,2024,2024-06-30T12:00:00+00:00,selected,,1,38,37,2024-07-02T09:34:43+00:00,https://www.citigroup.com/global/about-us,https://web.archive.org/web/20240702093443id_/https://www.citigroup.com/global/about-us
COP,ConocoPhillips,Energy,2016,2016-06-30T12:00:00+00:00,discovery_incomplete,CDX cache missing or all relevant discovery queries failed,1,0,0,,,
COP,ConocoPhillips,Energy,2017,2017-06-30T12:00:00+00:00,discovery_incomplete,CDX cache missing or all relevant discovery queries failed,1,0,0,,,
COP,ConocoPhillips,Energy,2018,2018-06-30T12:00:00+00:00,discovery_incomplete,CDX cache missing or all relevant discovery queries failed,1,0,0,,,
COP,ConocoPhillips,Energy,2019,2019-06-30T12:00:00+00:00,discovery_incomplete,CDX cache missing or all relevant discovery queries failed,1,0,0,,,
COP,ConocoPhillips,Energy,2020,2020-06-30T12:00:00+00:00,discovery_incomplete,CDX cache missing or all relevant discovery queries failed,1,0,0,,,
COP,ConocoPhillips,Energy,2021,2021-06-30T12:00:00+00:00,discovery_incomplete,CDX cache missing or all relevant discovery queries failed,1,0,0,,,
COP,ConocoPhillips,Energy,2022,2022-06-30T12:00:00+00:00,discovery_incomplete,CDX cache missing or all relevant discovery queries failed,1,0,0,,,
COP,ConocoPhillips,Energy,2023,2023-06-30T12:00:00+00:00,discovery_incomplete,CDX cache missing or all relevant discovery queries failed,1,0,0,,,
COP,ConocoPhillips,Energy,2024,2024-06-30T12:00:00+00:00,discovery_incomplete,CDX cache missing or all relevant discovery queries failed,1,0,0,,,
CRM,Salesforce,Technology,2016,2016-06-30T12:00:00+00:00,discovery_incomplete,CDX cache missing or all relevant discovery queries failed,1,0,0,,,
CRM,Salesforce,Technology,2017,2017-06-30T12:00:00+00:00,discovery_incomplete,CDX cache missing or all relevant discovery queries failed,1,0,0,,,
CRM,Salesforce,Technology,2018,2018-06-30T12:00:00+00:00,discovery_incomplete,CDX cache missing or all relevant discovery queries failed,1,0,0,,,
CRM,Salesforce,Technology,2019,2019-06-30T12:00:00+00:00,discovery_incomplete,CDX cache missing or all relevant discovery queries failed,1,0,0,,,
CRM,Salesforce,Technology,2020,2020-06-30T12:00:00+00:00,discovery_incomplete,CDX cache missing or all relevant discovery queries failed,1,0,0,,,
CRM,Salesforce,Technology,2021,2021-06-30T12:00:00+00:00,discovery_incomplete,CDX cache missing or all relevant discovery queries failed,1,0,0,,,
CRM,Salesforce,Technology,2022,2022-06-30T12:00:00+00:00,discovery_incomplete,CDX cache missing or all relevant discovery queries failed,1,0,0,,,
CRM,Salesforce,Technology,2023,2023-06-30T12:00:00+00:00,discovery_incomplete,CDX cache missing or all relevant discovery queries failed,1,0,0,,,
CRM,Salesforce,Technology,2024,2024-06-30T12:00:00+00:00,discovery_incomplete,CDX cache missing or all relevant discovery queries failed,1,0,0,,,
CVX,Chevron,Energy,2016,2016-06-30T12:00:00+00:00,discovery_incomplete,CDX cache missing or all relevant discovery queries failed,1,0,0,,,
CVX,Chevron,Energy,2017,2017-06-30T12:00:00+00:00,discovery_incomplete,CDX cache missing or all relevant discovery queries failed,1,0,0,,,
CVX,Chevron,Energy,2018,2018-06-30T12:00:00+00:00,discovery_incomplete,CDX cache missing or all relevant discovery queries failed,1,0,0,,,
CVX,Chevron,Energy,2019,2019-06-30T12:00:00+00:00,discovery_incomplete,CDX cache missing or all relevant discovery queries failed,1,0,0,,,
CVX,Chevron,Energy,2020,2020-06-30T12:00:00+00:00,discovery_incomplete,CDX cache missing or all relevant discovery queries failed,1,0,0,,,
CVX,Chevron,Energy,2021,2021-06-30T12:00:00+00:00,discovery_incomplete,CDX cache missing or all relevant discovery queries failed,1,0,0,,,
CVX,Chevron,Energy,2022,2022-06-30T12:00:00+00:00,discovery_incomplete,CDX cache missing or all relevant discovery queries failed,1,0,0,,,
CVX,Chevron,Energy,2023,2023-06-30T12:00:00+00:00,discovery_incomplete,CDX cache missing or all relevant discovery queries failed,1,0,0,,,
CVX,Chevron,Energy,2024,2024-06-30T12:00:00+00:00,discovery_incomplete,CDX cache missing or all relevant discovery queries failed,1,0,0,,,
EOG,EOG Resources,Energy,2016,2016-06-30T12:00:00+00:00,discovery_incomplete,CDX cache missing or all relevant discovery queries failed,1,0,0,,,
EOG,EOG Resources,Energy,2017,2017-06-30T12:00:00+00:00,discovery_incomplete,CDX cache missing or all relevant discovery queries failed,1,0,0,,,
EOG,EOG Resources,Energy,2018,2018-06-30T12:00:00+00:00,discovery_incomplete,CDX cache missing or all relevant discovery queries failed,1,0,0,,,
EOG,EOG Resources,Energy,2019,2019-06-30T12:00:00+00:00,discovery_incomplete,CDX cache missing or all relevant discovery queries failed,1,0,0,,,
EOG,EOG Resources,Energy,2020,2020-06-30T12:00:00+00:00,discovery_incomplete,CDX cache missing or all relevant discovery queries failed,1,0,0,,,
EOG,EOG Resources,Energy,2021,2021-06-30T12:00:00+00:00,discovery_incomplete,CDX cache missing or all relevant discovery queries failed,1,0,0,,,
EOG,EOG Resources,Energy,2022,2022-06-30T12:00:00+00:00,discovery_incomplete,CDX cache missing or all relevant discovery queries failed,1,0,0,,,
EOG,EOG Resources,Energy,2023,2023-06-30T12:00:00+00:00,discovery_incomplete,CDX cache missing or all relevant discovery queries failed,1,0,0,,,
EOG,EOG Resources,Energy,2024,2024-06-30T12:00:00+00:00,discovery_incomplete,CDX cache missing or all relevant discovery queries failed,1,0,0,,,
F,Ford Motor,Consumer Discretionary,2016,2016-06-30T12:00:00+00:00,discovery_incomplete,CDX cache missing or all relevant discovery queries failed,1,0,0,,,
F,Ford Motor,Consumer Discretionary,2017,2017-06-30T12:00:00+00:00,discovery_incomplete,CDX cache missing or all relevant discovery queries failed,1,0,0,,,
F,Ford Motor,Consumer Discretionary,2018,2018-06-30T12:00:00+00:00,discovery_incomplete,CDX cache missing or all relevant discovery queries failed,1,0,0,,,
F,Ford Motor,Consumer Discretionary,2019,2019-06-30T12:00:00+00:00,discovery_incomplete,CDX cache missing or all relevant discovery queries failed,1,0,0,,,
F,Ford Motor,Consumer Discretionary,2020,2020-06-30T12:00:00+00:00,discovery_incomplete,CDX cache missing or all relevant discovery queries failed,1,0,0,,,
F,Ford Motor,Consumer Discretionary,2021,2021-06-30T12:00:00+00:00,discovery_incomplete,CDX cache missing or all relevant discovery queries failed,1,0,0,,,
F,Ford Motor,Consumer Discretionary,2022,2022-06-30T12:00:00+00:00,discovery_incomplete,CDX cache missing or all relevant discovery queries failed,1,0,0,,,
F,Ford Motor,Consumer Discretionary,2023,2023-06-30T12:00:00+00:00,discovery_incomplete,CDX cache missing or all relevant discovery queries failed,1,0,0,,,
F,Ford Motor,Consumer Discretionary,2024,2024-06-30T12:00:00+00:00,discovery_incomplete,CDX cache missing or all relevant discovery queries failed,1,0,0,,,
GOOGL,Alphabet,Technology,2016,2016-06-30T12:00:00+00:00,discovery_incomplete,CDX cache missing or all relevant discovery queries failed,1,0,0,,,
GOOGL,Alphabet,Technology,2017,2017-06-30T12:00:00+00:00,discovery_incomplete,CDX cache missing or all relevant discovery queries failed,1,0,0,,,
GOOGL,Alphabet,Technology,2018,2018-06-30T12:00:00+00:00,discovery_incomplete,CDX cache missing or all relevant discovery queries failed,1,0,0,,,
GOOGL,Alphabet,Technology,2019,2019-06-30T12:00:00+00:00,discovery_incomplete,CDX cache missing or all relevant discovery queries failed,1,0,0,,,
GOOGL,Alphabet,Technology,2020,2020-06-30T12:00:00+00:00,discovery_incomplete,CDX cache missing or all relevant discovery queries failed,1,0,0,,,
GOOGL,Alphabet,Technology,2021,2021-06-30T12:00:00+00:00,discovery_incomplete,CDX cache missing or all relevant discovery queries failed,1,0,0,,,
GOOGL,Alphabet,Technology,2022,2022-06-30T12:00:00+00:00,discovery_incomplete,CDX cache missing or all relevant discovery queries failed,1,0,0,,,
GOOGL,Alphabet,Technology,2023,2023-06-30T12:00:00+00:00,discovery_incomplete,CDX cache missing or all relevant discovery queries failed,1,0,0,,,
GOOGL,Alphabet,Technology,2024,2024-06-30T12:00:00+00:00,discovery_incomplete,CDX cache missing or all relevant discovery queries failed,1,0,0,,,
GS,Goldman Sachs,Financials,2016,2016-06-30T12:00:00+00:00,discovery_incomplete,CDX cache missing or all relevant discovery queries failed,1,0,0,,,
GS,Goldman Sachs,Financials,2017,2017-06-30T12:00:00+00:00,discovery_incomplete,CDX cache missing or all relevant discovery queries failed,1,0,0,,,
GS,Goldman Sachs,Financials,2018,2018-06-30T12:00:00+00:00,discovery_incomplete,CDX cache missing or all relevant discovery queries failed,1,0,0,,,
GS,Goldman Sachs,Financials,2019,2019-06-30T12:00:00+00:00,discovery_incomplete,CDX cache missing or all relevant discovery queries failed,1,0,0,,,
GS,Goldman Sachs,Financials,2020,2020-06-30T12:00:00+00:00,discovery_incomplete,CDX cache missing or all relevant discovery queries failed,1,0,0,,,
GS,Goldman Sachs,Financials,2021,2021-06-30T12:00:00+00:00,discovery_incomplete,CDX cache missing or all relevant discovery queries failed,1,0,0,,,
GS,Goldman Sachs,Financials,2022,2022-06-30T12:00:00+00:00,discovery_incomplete,CDX cache missing or all relevant discovery queries failed,1,0,0,,,
GS,Goldman Sachs,Financials,2023,2023-06-30T12:00:00+00:00,discovery_incomplete,CDX cache missing or all relevant discovery queries failed,1,0,0,,,
GS,Goldman Sachs,Financials,2024,2024-06-30T12:00:00+00:00,discovery_incomplete,CDX cache missing or all relevant discovery queries failed,1,0,0,,,
HAL,Halliburton,Energy,2016,2016-06-30T12:00:00+00:00,discovery_incomplete,CDX cache missing or all relevant discovery queries failed,1,0,0,,,
HAL,Halliburton,Energy,2017,2017-06-30T12:00:00+00:00,discovery_incomplete,CDX cache missing or all relevant discovery queries failed,1,0,0,,,
HAL,Halliburton,Energy,2018,2018-06-30T12:00:00+00:00,discovery_incomplete,CDX cache missing or all relevant discovery queries failed,1,0,0,,,
HAL,Halliburton,Energy,2019,2019-06-30T12:00:00+00:00,discovery_incomplete,CDX cache missing or all relevant discovery queries failed,1,0,0,,,
HAL,Halliburton,Energy,2020,2020-06-30T12:00:00+00:00,discovery_incomplete,CDX cache missing or all relevant discovery queries failed,1,0,0,,,
HAL,Halliburton,Energy,2021,2021-06-30T12:00:00+00:00,discovery_incomplete,CDX cache missing or all relevant discovery queries failed,1,0,0,,,
HAL,Halliburton,Energy,2022,2022-06-30T12:00:00+00:00,discovery_incomplete,CDX cache missing or all relevant discovery queries failed,1,0,0,,,
HAL,Halliburton,Energy,2023,2023-06-30T12:00:00+00:00,discovery_incomplete,CDX cache missing or all relevant discovery queries failed,1,0,0,,,
HAL,Halliburton,Energy,2024,2024-06-30T12:00:00+00:00,discovery_incomplete,CDX cache missing or all relevant discovery queries failed,1,0,0,,,
HD,Home Depot,Consumer Discretionary,2016,2016-06-30T12:00:00+00:00,discovery_incomplete,CDX cache missing or all relevant discovery queries failed,1,0,0,,,
HD,Home Depot,Consumer Discretionary,2017,2017-06-30T12:00:00+00:00,discovery_incomplete,CDX cache missing or all relevant discovery queries failed,1,0,0,,,
HD,Home Depot,Consumer Discretionary,2018,2018-06-30T12:00:00+00:00,discovery_incomplete,CDX cache missing or all relevant discovery queries failed,1,0,0,,,
HD,Home Depot,Consumer Discretionary,2019,2019-06-30T12:00:00+00:00,discovery_incomplete,CDX cache missing or all relevant discovery queries failed,1,0,0,,,
HD,Home Depot,Consumer Discretionary,2020,2020-06-30T12:00:00+00:00,discovery_incomplete,CDX cache missing or all relevant discovery queries failed,1,0,0,,,
HD,Home Depot,Consumer Discretionary,2021,2021-06-30T12:00:00+00:00,discovery_incomplete,CDX cache missing or all relevant discovery queries failed,1,0,0,,,
