ticker,company_name,sector,prior_year,year,doc_id_prior,doc_id_current,cosine_similarity,semantic_distance
BAC,Bank of America,Financials,2023,2024,BAC-2023,BAC-2024,0.96974039,0.03025961
BAC,Bank of America,Financials,2016,2017,BAC-2016,BAC-2017,0.97068578,0.02931422
MRK,Merck,Healthcare,2019,2020,MRK-2019,MRK-2020,0.97099847,0.02900153
SBUX,Starbucks,Consumer Discretionary,2020,2021,SBUX-2020,SBUX-2021,0.9726218,0.0273782
SBUX,Starbucks,Consumer Discretionary,2019,2020,SBUX-2019,SBUX-2020,0.9726311,0.0273689
MDT,Medtronic,Healthcare,2017,2018,MDT-2017,MDT-2018,0.97301841,0.02698159
IBM,IBM,Technology,2019,2020,IBM-2019,IBM-2020,0.97311282,0.02688718
INTC,Intel,Technology,2016,2017,INTC-2016,INTC-2017,0.97355151,0.02644849
AMZN,Amazon,Consumer Discretionary,2022,2023,AMZN-2022,AMZN-2023,0.97370464,0.02629536
UNH,UnitedHealth Group,Healthcare,2017,2018,UNH-2017,UNH-2018,0.97386932,0.02613068
F,Ford Motor,Consumer Discretionary,2017,2018,F-2017,F-2018,0.97439134,0.02560866
MDT,Medtronic,Healthcare,2018,2019,MDT-2018,MDT-2019,0.97519362,0.02480638
MSFT,Microsoft,Technology,2022,2023,MSFT-2022,MSFT-2023,0.97520167,0.02479833
AVGO,Broadcom,Technology,2019,2020,AVGO-2019,AVGO-2020,0.97542191,0.02457809
F,Ford Motor,Consumer Discretionary,2016,2017,F-2016,F-2017,0.97598553,0.02401447
LOW,Lowe's,Consumer Discretionary,2023,2024,LOW-2023,LOW-2024,0.97599238,0.02400762
BRK.B,Berkshire Hathaway,Financials,2022,2023,BRK.B-2022,BRK.B-2023,0.97636282,0.02363718
NVDA,NVIDIA,Technology,2018,2019,NVDA-2018,NVDA-2019,0.97645915,0.02354085
HD,Home Depot,Consumer Discretionary,2023,2024,HD-2023,HD-2024,0.97777128,0.02222872
BAC,Bank of America,Financials,2022,2023,BAC-2022,BAC-2023,0.97858769,0.02141231
AXP,American Express,Financials,2019,2020,AXP-2019,AXP-2020,0.97895652,0.02104348
GOOGL,Alphabet,Technology,2023,2024,GOOGL-2023,GOOGL-2024,0.9793368,0.0206632
PSX,Phillips 66,Energy,2018,2019,PSX-2018,PSX-2019,0.97934723,0.02065277
HD,Home Depot,Consumer Discretionary,2018,2019,HD-2018,HD-2019,0.97950923,0.02049077
NVDA,NVIDIA,Technology,2016,2017,NVDA-2016,NVDA-2017,0.97995162,0.02004838
BMY,Bristol-Myers Squibb,Healthcare,2017,2018,BMY-2017,BMY-2018,0.98023534,0.01976466
TJX,TJX Companies,Consumer Discretionary,2020,2021,TJX-2020,TJX-2021,0.98028773,0.01971227
ABBV,AbbVie,Healthcare,2016,2017,ABBV-2016,ABBV-2017,0.98088002,0.01911998
MPC,Marathon Petroleum,Energy,2023,2024,MPC-2023,MPC-2024,0.98107648,0.01892352
HAL,Halliburton,Energy,2023,2024,HAL-2023,HAL-2024,0.98125362,0.01874638
BMY,Bristol-Myers Squibb,Healthcare,2018,2019,BMY-2018,BMY-2019,0.98257679,0.01742321
MPC,Marathon Petroleum,Energy,2018,2019,MPC-2018,MPC-2019,0.98333198,0.01666802
SBUX,Starbucks,Consumer Discretionary,2016,2017,SBUX-2016,SBUX-2017,0.98341179,0.01658821
AXP,American Express,Financials,2016,2017,AXP-2016,AXP-2017,0.98345959,0.01654041
LLY,Eli Lilly,Healthcare,2017,2018,LLY-2017,LLY-2018,0.98392683,0.01607317
EOG,EOG Resources,Energy,2016,2017,EOG-2016,EOG-2017,0.98444307,0.01555693
AXP,American Express,Financials,2018,2019,AXP-2018,AXP-2019,0.98460001,0.01539999
LLY,Eli Lilly,Healthcare,2020,2021,LLY-2020,LLY-2021,0.98495889,0.01504111
GS,Goldman Sachs,Financials,2016,2017,GS-2016,GS-2017,0.98509812,0.01490188
MS,Morgan Stanley,Financials,2016,2017,MS-2016,MS-2017,0.98551542,0.01448458
C,Citigroup,Financials,2016,2017,C-2016,C-2017,0.98562229,0.01437771
LOW,Lowe's,Consumer Discretionary,2018,2019,LOW-2018,LOW-2019,0.98562813,0.01437187
VLO,Valero Energy,Energy,2018,2019,VLO-2018,VLO-2019,0.98628354,0.01371646
TMO,Thermo Fisher Scientific,Healthcare,2019,2020,TMO-2019,TMO-2020,0.98635447,0.01364553
TJX,TJX Companies,Consumer Discretionary,2016,2017,TJX-2016,TJX-2017,0.98674321,0.01325679
XOM,ExxonMobil,Energy,2023,2024,XOM-2023,XOM-2024,0.98676282,0.01323718
JNJ,Johnson & Johnson,Healthcare,2021,2022,JNJ-2021,JNJ-2022,0.98684013,0.01315987
JNJ,Johnson & Johnson,Healthcare,2019,2020,JNJ-2019,JNJ-2020,0.98699486,0.01300514
PSX,Phillips 66,Energy,2019,2020,PSX-2019,PSX-2020,0.98706824,0.01293176
AMZN,Amazon,Consumer Discretionary,2019,2020,AMZN-2019,AMZN-2020,0.98718107,0.01281893
MRK,Merck,Healthcare,2023,2024,MRK-2023,MRK-2024,0.98749793,0.01250207
HD,Home Depot,Consumer Discretionary,2016,2017,HD-2016,HD-2017,0.98755008,0.01244992
COP,ConocoPhillips,Energy,2018,2019,COP-2018,COP-2019,0.98782766,0.01217234
MS,Morgan Stanley,Financials,2017,2018,MS-2017,MS-2018,0.98799121,0.01200879
CRM,Salesforce,Technology,2016,2017,CRM-2016,CRM-2017,0.98799491,0.01200509
COP,ConocoPhillips,Energy,2019,2020,COP-2019,COP-2020,0.98805881,0.01194119
AMZN,Amazon,Consumer Discretionary,2016,2017,AMZN-2016,AMZN-2017,0.98837161,0.01162839
MS,Morgan Stanley,Financials,2023,2024,MS-2023,MS-2024,0.98848277,0.01151723
WFC,Wells Fargo,Financials,2016,2017,WFC-2016,WFC-2017,0.98877835,0.01122165
COP,ConocoPhillips,Energy,2020,2021,COP-2020,COP-2021,0.98911101,0.01088899
LOW,Lowe's,Consumer Discretionary,2016,2017,LOW-2016,LOW-2017,0.9894371,0.0105629
LLY,Eli Lilly,Healthcare,2023,2024,LLY-2023,LLY-2024,0.9894793,0.0105207
ORCL,Oracle,Technology,2016,2017,ORCL-2016,ORCL-2017,0.9897905,0.0102095
VLO,Valero Energy,Energy,2019,2020,VLO-2019,VLO-2020,0.98987496,0.01012504
MS,Morgan Stanley,Financials,2020,2021,MS-2020,MS-2021,0.98992181,0.01007819
ORCL,Oracle,Technology,2020,2021,ORCL-2020,ORCL-2021,0.99043357,0.00956643
TSLA,Tesla,Consumer Discretionary,2017,2018,TSLA-2017,TSLA-2018,0.99082422,0.00917578
LOW,Lowe's,Consumer Discretionary,2017,2018,LOW-2017,LOW-2018,0.99086112,0.00913888
XOM,ExxonMobil,Energy,2016,2017,XOM-2016,XOM-2017,0.99134141,0.00865859
OXY,Occidental Petroleum,Energy,2018,2019,OXY-2018,OXY-2019,0.9913497,0.0086503
MPC,Marathon Petroleum,Energy,2016,2017,MPC-2016,MPC-2017,0.99201685,0.00798315
CRM,Salesforce,Technology,2023,2024,CRM-2023,CRM-2024,0.99268419,0.00731581
PFE,Pfizer,Healthcare,2020,2021,PFE-2020,PFE-2021,0.99271429,0.00728571
SCHW,Charles Schwab,Financials,2023,2024,SCHW-2023,SCHW-2024,0.99289489,0.00710511
TJX,TJX Companies,Consumer Discretionary,2023,2024,TJX-2023,TJX-2024,0.99312294,0.00687706
BMY,Bristol-Myers Squibb,Healthcare,2021,2022,BMY-2021,BMY-2022,0.99320239,0.00679761
SBUX,Starbucks,Consumer Discretionary,2017,2018,SBUX-2017,SBUX-2018,0.99327171,0.00672829
BMY,Bristol-Myers Squibb,Healthcare,2023,2024,BMY-2023,BMY-2024,0.99333054,0.00666946
VLO,Valero Energy,Energy,2023,2024,VLO-2023,VLO-2024,0.99361986,0.00638014
AAPL,Apple,Technology,2016,2017,AAPL-2016,AAPL-2017,0.9936955,0.0063045
ORCL,Oracle,Technology,2019,2020,ORCL-2019,ORCL-2020,0.99379992,0.00620008
VLO,Valero Energy,Energy,2016,2017,VLO-2016,VLO-2017,0.99380541,0.00619459
GOOGL,Alphabet,Technology,2016,2017,GOOGL-2016,GOOGL-2017,0.99383461,0.00616539
MSFT,Microsoft,Technology,2023,2024,MSFT-2023,MSFT-2024,0.99386728,0.00613272
META,Meta Platforms,Technology,2019,2020,META-2019,META-2020,0.99396116,0.00603884
BRK.B,Berkshire Hathaway,Financials,2016,2017,BRK.B-2016,BRK.B-2017,0.99410099,0.00589901
GS,Goldman Sachs,Financials,2023,2024,GS-2023,GS-2024,0.99421453,0.00578547
SCHW,Charles Schwab,Financials,2016,2017,SCHW-2016,SCHW-2017,0.99437833,0.00562167
MPC,Marathon Petroleum,Energy,2019,2020,MPC-2019,MPC-2020,0.99444944,0.00555056
NVDA,NVIDIA,Technology,2017,2018,NVDA-2017,NVDA-2018,0.99468803,0.00531197
META,Meta Platforms,Technology,2020,2021,META-2020,META-2021,0.99469995,0.00530005
AMZN,Amazon,Consumer Discretionary,2020,2021,AMZN-2020,AMZN-2021,0.99471331,0.00528669
BAC,Bank of America,Financials,2017,2018,BAC-2017,BAC-2018,0.99473786,0.00526214
