doc_id,ticker,company_name,sector,year,accession_number,clean_text_sha256,dominant_topic_id,dominant_topic_score,nmf_topic_1_score,nmf_topic_2_score,nmf_topic_3_score,nmf_topic_4_score,nmf_topic_5_score,nmf_topic_6_score,nmf_topic_7_score,nmf_topic_8_score
INTC-2016,INTC,Intel,Technology,2016,0001193125-16-528154,a1d685d55e65e621cc84a6e1773d2ed90b6d7d10812ceb5c68899e7618268d78,nmf_topic_2,0.22971699,0.01820228,0.22971699,0.00657124,0.0,0.0,0.0,0.0,0.0
INTC-2017,INTC,Intel,Technology,2017,0001193125-17-112133,c2c11a66aef5febe064c55096bb2d96be0fc78c584adbac351e198bec08f424b,nmf_topic_2,0.22545293,0.02095727,0.22545293,0.00481856,0.0,0.0,0.0,0.0,0.0
INTC-2018,INTC,Intel,Technology,2018,0001193125-18-107675,8a054ba7072c6ba26842ea2ad78b31cd303f047e131ac92a67338500c6c361fd,nmf_topic_2,0.23663802,0.01299734,0.23663802,0.00390154,0.0,0.0,0.0,0.0,0.0
INTC-2019,INTC,Intel,Technology,2019,0001193125-19-095785,2b36320afcaad13e38c94c4e4b060f9ee4dd8a8ede5ca37daf1f41f15a18aeae,nmf_topic_2,0.22688742,0.0020697,0.22688742,0.0,0.0,0.0002987,0.00500137,0.0,0.0
INTC-2020,INTC,Intel,Technology,2020,0001193125-20-091451,bd481fc810e6379ce6de807b61a1d5f07b2bbcee4fec74d0556b40b36911033b,nmf_topic_2,0.24134484,0.01227245,0.24134484,0.00378367,0.0,0.0018687,0.0,0.0,0.0
INTC-2021,INTC,Intel,Technology,2021,0001193125-21-098458,5f008e6471e4dc3b7769b4a08c24e3b0dd179462acb3df07e806b4bce5c97e01,nmf_topic_2,0.25518672,0.0,0.25518672,0.0,0.0,0.0,0.0,0.0,0.0
INTC-2022,INTC,Intel,Technology,2022,0000050863-22-000011,58fbd9d0d159ed2327b7ea29e7f9a513afbeb172585ed6e180eaac535512cfdd,nmf_topic_2,0.20975432,0.0,0.20975432,0.0,0.01051067,0.0,0.0,0.00212585,0.0
INTC-2023,INTC,Intel,Technology,2023,0000050863-23-000021,06b078e2b0200ce228088ff3161ed6659cb0d96d36f23871b126cd0e50fb4b13,nmf_topic_2,0.15373292,0.0195405,0.15373292,0.0,0.05805617,0.0,0.0,0.03251201,0.0
INTC-2024,INTC,Intel,Technology,2024,0000050863-24-000057,6abce692d61e8cf3fc4c621eb3d15348f3206015f91c0aba57f3ea940f7b04db,nmf_topic_2,0.12907928,0.03434292,0.12907928,0.0,0.0751827,0.0,0.0,0.03105924,0.0
BRK.B-2016,BRK.B,Berkshire Hathaway,Financials,2016,0001193125-16-501649,7bd6f6c9aea6d4dc11e89c247a45dffcc16a43bfab0f7ad0dded7d3f56ceabbc,nmf_topic_5,0.42101741,0.0,0.0,0.0,0.0,0.42101741,0.0,0.0,0.0
BRK.B-2017,BRK.B,Berkshire Hathaway,Financials,2017,0001193125-17-087493,c5a6920d55f404c3a2f2ee2e824f71f286e7c75b940718975cf2f9fa99d94f3f,nmf_topic_5,0.4236206,0.0,0.0,0.0,0.0,0.4236206,0.0,0.0,0.0
BRK.B-2018,BRK.B,Berkshire Hathaway,Financials,2018,0001193125-18-086050,b36a535e51a7732e37ebcc06babb688c53a8c7ce86f300a973fb5614d9254404,nmf_topic_5,0.42499788,0.0,0.0,0.0,0.0,0.42499788,0.0,0.0,0.0
BRK.B-2019,BRK.B,Berkshire Hathaway,Financials,2019,0001193125-19-076915,9cd464833df48b2605a24b4acf4d7961d3e5175c44f8cc0bc50688b779a406a1,nmf_topic_5,0.42402464,0.0,0.0,0.0,0.0,0.42402464,0.0,0.0,0.0
BRK.B-2020,BRK.B,Berkshire Hathaway,Financials,2020,0001193125-20-072952,ccb59ded7d9b26cb6fb8841c3c15f0b7f5b4ce0dd24adc726395ed6cef9fbfac,nmf_topic_5,0.42354639,0.0,0.0,0.0,0.0,0.42354639,0.0,0.0,0.0
BRK.B-2021,BRK.B,Berkshire Hathaway,Financials,2021,0001193125-21-080418,34f318f834fea16011c121f3fc98d7da5b2bb17033913f372dc932becbdd2ae1,nmf_topic_5,0.37840438,0.0,0.00562887,0.0,0.00978707,0.37840438,0.0,0.0,0.0
BRK.B-2022,BRK.B,Berkshire Hathaway,Financials,2022,0001193125-22-073447,717a9719e7cc6f82686c2df1ef303434b2a6c9ad5e4cefe44d51ef85fa37371d,nmf_topic_5,0.40150229,0.0,0.0,0.0,0.0,0.40150229,0.0,0.01073303,0.0
BRK.B-2023,BRK.B,Berkshire Hathaway,Financials,2023,0001193125-23-073948,4c9312c0049c1a8f751f298694e3f22f4e5ae37242a17edc969da7353b54c7ff,nmf_topic_5,0.39636578,0.0,0.0,0.0,0.00609142,0.39636578,0.0,0.01405037,0.0
