doc_id,ticker,company_name,sector,year,accession_number,clean_text_sha256,spacy_model,spacy_model_version,representative_text_sha256,token_count,sentence_count,entity_count,org_entity_count,person_entity_count,money_entity_count,percent_entity_count,noun_rate,verb_rate,proper_noun_rate,modal_count
META-2018,META,Meta Platforms,Technology,2018,0001326801-18-000022,d17a4a53fb26820ad2051bfe64a876f2d948587a91a3470cae5cfe2e50df61dd,en_core_web_sm,3.8.0,428676eb750d90fac905f6acd5ae97e36ba850fe88a0a90d088ff540931021f1,1715,53,142,29,11,0,0,0.13411079,0.08104956,0.20349854,14
META-2019,META,Meta Platforms,Technology,2019,0001326801-19-000025,96f4686ea22037d6501cf576050c5bbf7269fe746ecd5e46cbd2fe8babe9669b,en_core_web_sm,3.8.0,12c25ec676751f4708e5d8f81dc5c308fd1560cc3cc6124115e2300e91edfdf1,1710,92,148,28,13,0,0,0.12105263,0.07660819,0.22163743,9
META-2020,META,Meta Platforms,Technology,2020,0001326801-20-000037,545bd651021b1e29b31348aada7e451007d03f409f78cfefbc236e3ac0e11350,en_core_web_sm,3.8.0,ad9bba813c718774bf0bb6bf6a7d9ed3ba6544c743fc5dd34003d9f5899e5d93,1675,96,121,25,11,0,0,0.12656716,0.07701493,0.21910448,12
META-2021,META,Meta Platforms,Technology,2021,0001326801-21-000022,1465bf75f306ab723a1482ffaf59b60f898adcbb19aaa2f5f76e521634233063,en_core_web_sm,3.8.0,80c5d45eabce8f2f6f3eb8ef5bb193dd6cad3e96cd9fb133ad271a62d3297e5f,1658,99,86,19,12,2,1,0.18697226,0.0946924,0.10253317,7
META-2022,META,Meta Platforms,Technology,2022,0001326801-22-000043,1afe3a6bbc6f9b563058cf60da978e7e1efd949e90e179fb8273640d9db547ab,en_core_web_sm,3.8.0,43f3ef652439d279c889396bdcf4fd97d7d0438fe87ee828b964db488ba53d5c,1649,95,90,29,11,0,0,0.16616131,0.0861128,0.16919345,9
META-2023,META,Meta Platforms,Technology,2023,0001326801-23-000050,65fe988d29592e5726020a6d19c7793d765ae0861b6bd0a5e34f8880c58d6df7,en_core_web_sm,3.8.0,e9dff7235dd5dd2017e60106af4802478536fc0bd80704566ec1f2b52515fac9,1594,96,103,32,4,0,0,0.15244668,0.0846926,0.1944793,11
META-2024,META,Meta Platforms,Technology,2024,0001326801-24-000034,da2b1486e34cb0e034dc441c76d6200518c50859f4126d82cfe943ef52f54d09,en_core_web_sm,3.8.0,d6f8c4b94a7c6f15f3fa3ab48cebde60e4cb311a34cf5c2a9e98c9b79b873a40,1596,89,114,34,10,0,0,0.1660401,0.07894737,0.21052632,12
AVGO-2019,AVGO,Broadcom,Technology,2019,0001193125-19-043540,53ccd82dc1dcf775a976e67409062b50363f83a97bbd7bab4a25531b689e4390,en_core_web_sm,3.8.0,ebbd74eadef4c0a7952820113613969923b29b7385f01015d3bf8ee162ab4317,1572,47,157,34,9,0,0,0.12150127,0.05725191,0.31424936,5
AVGO-2020,AVGO,Broadcom,Technology,2020,0001730168-20-000020,1fdc7ef840032f90542c6c09169532708767af072c485318c2edab7fddf3796e,en_core_web_sm,3.8.0,fa5385573547fd1971153ad91127f4b855a1de8032d75b9b098bac53f1f93826,1583,40,154,28,11,0,0,0.11813013,0.06253948,0.30195831,6
AVGO-2021,AVGO,Broadcom,Technology,2021,0001730168-21-000017,b1583a3fcb38cc9a0d7b9bae2fef5d5210694fb6a1f5898ec90b837bdeece302,en_core_web_sm,3.8.0,bd0f7f50ae18311d0aad546522160f834650ccb3a043310a1e371ab5aa47317e,1567,40,153,35,8,0,0,0.1212508,0.0606254,0.30759413,6
