doc_id_a,doc_id_b,ticker_a,ticker_b,year_a,year_b,sector_a,sector_b,same_ticker,same_sector,cosine_similarity
ORCL-2019,ORCL-2021,ORCL,ORCL,2019,2021,Technology,Technology,True,True,0.99469078
NVDA-2017,NVDA-2018,NVDA,NVDA,2017,2018,Technology,Technology,True,True,0.99468803
BMY-2016,BMY-2019,BMY,BMY,2016,2019,Healthcare,Healthcare,True,True,0.99462044
META-2018,META-2020,META,META,2018,2020,Technology,Technology,True,True,0.99456292
INTC-2017,INTC-2019,INTC,INTC,2017,2019,Technology,Technology,True,True,0.9945097
INTC-2019,INTC-2021,INTC,INTC,2019,2021,Technology,Technology,True,True,0.99450636
INTC-2018,INTC-2021,INTC,INTC,2018,2021,Technology,Technology,True,True,0.99445564
BAC-2018,BAC-2020,BAC,BAC,2018,2020,Financials,Financials,True,True,0.9944554
SLB-2017,SLB-2020,SLB,SLB,2017,2020,Energy,Energy,True,True,0.99445391
MPC-2019,MPC-2020,MPC,MPC,2019,2020,Energy,Energy,True,True,0.99444944
SCHW-2016,SCHW-2017,SCHW,SCHW,2016,2017,Financials,Financials,True,True,0.99437833
VLO-2018,VLO-2021,VLO,VLO,2018,2021,Energy,Energy,True,True,0.99432516
BRK.B-2016,BRK.B-2018,BRK.B,BRK.B,2016,2018,Financials,Financials,True,True,0.99425781
GS-2023,GS-2024,GS,GS,2023,2024,Financials,Financials,True,True,0.99421453
MPC-2019,MPC-2021,MPC,MPC,2019,2021,Energy,Energy,True,True,0.99418521
BRK.B-2016,BRK.B-2021,BRK.B,BRK.B,2016,2021,Financials,Financials,True,True,0.99417335
BAC-2018,BAC-2021,BAC,BAC,2018,2021,Financials,Financials,True,True,0.99413955
BRK.B-2016,BRK.B-2017,BRK.B,BRK.B,2016,2017,Financials,Financials,True,True,0.99410099
MPC-2019,MPC-2022,MPC,MPC,2019,2022,Energy,Energy,True,True,0.993994
META-2019,META-2020,META,META,2019,2020,Technology,Technology,True,True,0.99396116
COP-2019,COP-2021,COP,COP,2019,2021,Energy,Energy,True,True,0.99394095
BRK.B-2016,BRK.B-2020,BRK.B,BRK.B,2016,2020,Financials,Financials,True,True,0.9939239
MSFT-2023,MSFT-2024,MSFT,MSFT,2023,2024,Technology,Technology,True,True,0.99386728
META-2017,META-2020,META,META,2017,2020,Technology,Technology,True,True,0.99384928
GOOGL-2016,GOOGL-2017,GOOGL,GOOGL,2016,2017,Technology,Technology,True,True,0.99383461
VLO-2016,VLO-2017,VLO,VLO,2016,2017,Energy,Energy,True,True,0.99380541
ORCL-2019,ORCL-2020,ORCL,ORCL,2019,2020,Technology,Technology,True,True,0.99379992
AAPL-2016,AAPL-2017,AAPL,AAPL,2016,2017,Technology,Technology,True,True,0.9936955
MCD-2017,MCD-2020,MCD,MCD,2017,2020,Consumer Discretionary,Consumer Discretionary,True,True,0.99363601
VLO-2023,VLO-2024,VLO,VLO,2023,2024,Energy,Energy,True,True,0.99361986
VLO-2018,VLO-2020,VLO,VLO,2018,2020,Energy,Energy,True,True,0.99359393
SCHW-2016,SCHW-2019,SCHW,SCHW,2016,2019,Financials,Financials,True,True,0.99359065
AAPL-2020,AAPL-2022,AAPL,AAPL,2020,2022,Technology,Technology,True,True,0.99353349
OXY-2017,OXY-2019,OXY,OXY,2017,2019,Energy,Energy,True,True,0.99340641
BMY-2023,BMY-2024,BMY,BMY,2023,2024,Healthcare,Healthcare,True,True,0.99333054
SBUX-2017,SBUX-2018,SBUX,SBUX,2017,2018,Consumer Discretionary,Consumer Discretionary,True,True,0.99327171
BMY-2021,BMY-2022,BMY,BMY,2021,2022,Healthcare,Healthcare,True,True,0.99320239
SCHW-2016,SCHW-2020,SCHW,SCHW,2016,2020,Financials,Financials,True,True,0.993195
PFE-2018,PFE-2021,PFE,PFE,2018,2021,Healthcare,Healthcare,True,True,0.99314237
TJX-2023,TJX-2024,TJX,TJX,2023,2024,Consumer Discretionary,Consumer Discretionary,True,True,0.99312294
SCHW-2016,SCHW-2021,SCHW,SCHW,2016,2021,Financials,Financials,True,True,0.99294126
SCHW-2023,SCHW-2024,SCHW,SCHW,2023,2024,Financials,Financials,True,True,0.99289489
SBUX-2017,SBUX-2019,SBUX,SBUX,2017,2019,Consumer Discretionary,Consumer Discretionary,True,True,0.99284351
OXY-2016,OXY-2019,OXY,OXY,2016,2019,Energy,Energy,True,True,0.9927507
PFE-2020,PFE-2021,PFE,PFE,2020,2021,Healthcare,Healthcare,True,True,0.99271429
CRM-2023,CRM-2024,CRM,CRM,2023,2024,Technology,Technology,True,True,0.99268419
AAPL-2019,AAPL-2022,AAPL,AAPL,2019,2022,Technology,Technology,True,True,0.99264193
SCHW-2016,SCHW-2018,SCHW,SCHW,2016,2018,Financials,Financials,True,True,0.99250829
GOOGL-2016,GOOGL-2019,GOOGL,GOOGL,2016,2019,Technology,Technology,True,True,0.9923631
INTC-2017,INTC-2020,INTC,INTC,2017,2020,Technology,Technology,True,True,0.99231517
MPC-2016,MPC-2017,MPC,MPC,2016,2017,Energy,Energy,True,True,0.99201685
MS-2019,MS-2022,MS,MS,2019,2022,Financials,Financials,True,True,0.99200892
META-2016,META-2020,META,META,2016,2020,Technology,Technology,True,True,0.99196529
ORCL-2017,ORCL-2020,ORCL,ORCL,2017,2020,Technology,Technology,True,True,0.9918685
MPC-2016,MPC-2018,MPC,MPC,2016,2018,Energy,Energy,True,True,0.99174404
LOW-2018,LOW-2021,LOW,LOW,2018,2021,Consumer Discretionary,Consumer Discretionary,True,True,0.99164617
MS-2020,MS-2022,MS,MS,2020,2022,Financials,Financials,True,True,0.99152815
VLO-2019,VLO-2021,VLO,VLO,2019,2021,Energy,Energy,True,True,0.99142599
OXY-2018,OXY-2019,OXY,OXY,2018,2019,Energy,Energy,True,True,0.9913497
XOM-2016,XOM-2017,XOM,XOM,2016,2017,Energy,Energy,True,True,0.99134141
BRK.B-2016,BRK.B-2019,BRK.B,BRK.B,2016,2019,Financials,Financials,True,True,0.99118102
GOOGL-2016,GOOGL-2018,GOOGL,GOOGL,2016,2018,Technology,Technology,True,True,0.99114406
ORCL-2018,ORCL-2020,ORCL,ORCL,2018,2020,Technology,Technology,True,True,0.9909997
INTC-2017,INTC-2021,INTC,INTC,2017,2021,Technology,Technology,True,True,0.99090284
LOW-2017,LOW-2018,LOW,LOW,2017,2018,Consumer Discretionary,Consumer Discretionary,True,True,0.99086112
TSLA-2017,TSLA-2018,TSLA,TSLA,2017,2018,Consumer Discretionary,Consumer Discretionary,True,True,0.99082422
MS-2019,MS-2021,MS,MS,2019,2021,Financials,Financials,True,True,0.99057543
GOOGL-2016,GOOGL-2021,GOOGL,GOOGL,2016,2021,Technology,Technology,True,True,0.99052835
ORCL-2020,ORCL-2021,ORCL,ORCL,2020,2021,Technology,Technology,True,True,0.99043357
HD-2016,HD-2018,HD,HD,2016,2018,Consumer Discretionary,Consumer Discretionary,True,True,0.99034619
LOW-2018,LOW-2020,LOW,LOW,2018,2020,Consumer Discretionary,Consumer Discretionary,True,True,0.9901911
NVDA-2016,NVDA-2021,NVDA,NVDA,2016,2021,Technology,Technology,True,True,0.99014229
ORCL-2016,ORCL-2019,ORCL,ORCL,2016,2019,Technology,Technology,True,True,0.99012929
NVDA-2016,NVDA-2020,NVDA,NVDA,2016,2020,Technology,Technology,True,True,0.9901247
LOW-2016,LOW-2021,LOW,LOW,2016,2021,Consumer Discretionary,Consumer Discretionary,True,True,0.98996073
MS-2020,MS-2021,MS,MS,2020,2021,Financials,Financials,True,True,0.98992181
VLO-2019,VLO-2020,VLO,VLO,2019,2020,Energy,Energy,True,True,0.98987496
ORCL-2016,ORCL-2017,ORCL,ORCL,2016,2017,Technology,Technology,True,True,0.9897905
AXP-2017,AXP-2019,AXP,AXP,2017,2019,Financials,Financials,True,True,0.98964876
WFC-2016,WFC-2020,WFC,WFC,2016,2020,Financials,Financials,True,True,0.98956066
LLY-2023,LLY-2024,LLY,LLY,2023,2024,Healthcare,Healthcare,True,True,0.9894793
LOW-2016,LOW-2017,LOW,LOW,2016,2017,Consumer Discretionary,Consumer Discretionary,True,True,0.9894371
SBUX-2016,SBUX-2018,SBUX,SBUX,2016,2018,Consumer Discretionary,Consumer Discretionary,True,True,0.98935962
JNJ-2017,JNJ-2021,JNJ,JNJ,2017,2021,Healthcare,Healthcare,True,True,0.9892906
MS-2018,MS-2022,MS,MS,2018,2022,Financials,Financials,True,True,0.98928708
PFE-2017,PFE-2021,PFE,PFE,2017,2021,Healthcare,Healthcare,True,True,0.98920506
WFC-2016,WFC-2021,WFC,WFC,2016,2021,Financials,Financials,True,True,0.98919135
JNJ-2018,JNJ-2021,JNJ,JNJ,2018,2021,Healthcare,Healthcare,True,True,0.98911428
COP-2020,COP-2021,COP,COP,2020,2021,Energy,Energy,True,True,0.98911101
MS-2017,MS-2019,MS,MS,2017,2019,Financials,Financials,True,True,0.9889251
JNJ-2019,JNJ-2021,JNJ,JNJ,2019,2021,Healthcare,Healthcare,True,True,0.98891091
